20160211,93.7000,94.7200,92.5900,93.7900,50074700
20160212,93.9900,94.5000,93.0100,94.1900,40351400
20160216,96.6400,96.8500,94.6100,95.0200,49057900
20160217,98.1200,98.2100,96.1500,96.6700,44863200
20160218,96.2600,98.8900,96.0900,98.8400,39021000
20160219,96.0400,96.7600,95.8000,96.0000,35374200
20160222,96.8800,96.9000,95.9200,96.3100,34280800
20160223,94.6900,96.5000,94.5500,96.4000,31942600
20160224,96.1000,96.3800,93.3200,93.9800,36255700
20160225,96.7600,96.7600,95.2500,96.0500,27582700
20160226,96.9100,98.0200,96.5800,97.2000,28991100
20160229,96.6900,98.2300,96.6500,96.8600,35216300
20160301,100.5300,100.7700,97.4200,97.6500,50407100
20160302,100.7500,100.8900,99.6400,100.5100,33169600
20160303,101.5000,101.7100,100.4500,100.5800,36955700
20160304,103.0100,103.7500,101.3700,102.3700,46055100
20160307,101.8700,102.8300,100.9600,102.3900,35828900
20160308,101.0300,101.7600,100.4000,100.7800,31561900
20160309,101.1200,101.5800,100.2700,101.3100,27201700
20160310,101.1700,102.2400,100.1500,101.4100,33513600
20160311,102.2600,102.2800,101.5000,102.2400,27408200
20160314,102.5200,102.9100,101.7800,101.9100,25076100
20160315,104.5800,105.1800,103.8500,103.9600,40067700
20160316,105.9700,106.3100,104.5900,104.6100,38303500
20160317,105.8000,106.4700,104.9600,105.5200,34420700
20160318,105.9200,106.5000,105.1900,106.3400,44205200
20160321,105.9100,107.6500,105.1400,105.9300,35502700
20160322,106.7200,107.2900,105.2100,105.2500,32444400
20160323,106.1300,107.0700,105.9000,106.4800,25703500
20160324,105.6700,106.2500,104.8900,105.4700,26133000
20160328,105.1900,106.1900,105.0600,106.0000,19411400
20160329,107.6800,107.7900,104.8800,104.8900,31190100
20160330,109.5600,110.4200,108.6000,108.6500,45601100
20160331,108.9900,109.9000,108.8800,109.7200,25888400
20160401,109.9900,110.0000,108.2000,108.7800,25874000
20160404,111.1200,112.1900,110.2700,110.4200,37356200
20160405,109.8100,110.7300,109.4200,109.5100,26578700
20160406,110.9600,110.9800,109.2000,110.2300,26404100
20160407,108.5400,110.4200,108.1200,109.9500,31801900
20160408,108.6600,109.7700,108.1700,108.9100,23581700
20160411,109.0200,110.6100,108.8300,108.9700,29407500
20160412,110.4400,110.5000,108.6600,109.3400,27232300
20160413,112.0400,112.3400,110.8000,110.8000,33257300
20160414,112.1000,112.3900,111.3300,111.6200,25473900
20160415,109.8500,112.3000,109.7300,112.1100,46939000
20160418,107.4800,108.9500,106.9400,108.8900,60834000
20160419,106.9100,108.0000,106.2300,107.8800,32384900
20160420,107.1300,108.0900,106.0600,106.6400,30611000
20160421,105.9700,106.9300,105.5200,106.9300,31552500
20160422,105.6800,106.4800,104.6200,105.0100,33683100
20160425,105.0800,105.6500,104.5100,105.0000,28031600
20160426,104.3500,105.3000,103.9100,103.9100,56016200
20160427,97.8200,98.7100,95.6800,96.0000,114602096
20160428,94.8300,97.8800,94.2500,97.6100,82242704
20160429,93.7400,94.7200,92.5100,93.9900,68531504
20160502,93.6400,94.0800,92.4000,93.9700,48160100
20160503,95.1800,95.7400,93.6800,94.2000,56831300
20160504,94.1900,95.9000,93.8200,95.2000,41025500
20160505,93.2400,94.0700,92.6800,94.0000,35890500
20160506,92.7200,93.4500,91.8500,93.3700,43458200
20160509,92.7900,93.7700,92.5900,93.0000,32936400
20160510,93.4200,93.5700,92.1100,93.3300,33686800
20160511,92.5100,93.5700,92.4600,93.4800,28719100
20160512,90.3400,92.7800,89.4700,92.7200,76314704
20160513,90.5200,91.6700,90.0000,90.0000,44392800
20160516,93.8800,94.3900,91.6500,92.3900,61259800
20160517,93.4900,94.7000,93.0100,94.5500,46916900
20160518,94.5600,95.2100,93.8900,94.1600,42062400
20160519,94.2000,94.6400,93.5700,94.6400,30442100
20160520,95.2200,95.4300,94.5200,94.6400,32026000
20160523,96.4300,97.1900,95.6700,95.8700,38018600
20160524,97.9000,98.0900,96.8400,97.2200,35140200
20160525,99.6200,99.7400,98.1100,98.6700,38168800
20160526,100.4100,100.7300,98.6400,99.6800,56331200
20160527,100.3500,100.4700,99.2500,99.4400,36229500
20160531,99.8600,100.4000,98.8200,99.6000,42307200
20160601,98.4600,99.5400,98.3300,99.0200,29173300
20160602,97.7200,97.8400,96.6300,97.6000,40191600
20160603,97.9200,98.2700,97.4500,97.7900,28062900
20160606,98.6300,101.8900,97.5500,97.9900,23292500
20160607,99.0300,99.8700,98.9600,99.2500,22409500
20160608,98.9400,99.5600,98.6800,99.0200,20848100
20160609,99.6500,99.9900,98.4600,98.5000,26601400
20160610,98.8300,99.3500,98.4800,98.5300,31712900
20160613,97.3400,99.1200,97.1000,98.6900,38020500
20160614,97.4600,98.4800,96.7500,97.3200,31931900
20160615,97.1400,98.4100,97.0300,97.8200,29445200
20160616,97.5500,97.7500,96.0700,96.4500,31326800
20160617,95.3300,96.6500,95.3000,96.6200,61008200
20160620,95.1000,96.5700,95.0300,96.0000,34411900
20160621,95.9100,96.3500,94.6800,94.9400,35546400
20160622,95.5500,96.8900,95.3500,96.2500,29219100
20160623,96.1000,96.2900,95.2500,95.9400,32240200
20160624,93.4000,94.6600,92.6500,92.9100,75311400
20160627,92.0400,93.0500,91.5000,93.0000,45489600
20160628,93.5900,93.6600,92.1400,92.9000,40444900
20160629,94.4000,94.5500,93.6300,93.9700,36531000
20160630,95.6000,95.7700,94.3000,94.4400,35836400
20160701,95.8900,96.4700,95.3300,95.4900,26026500
20160705,94.9900,95.4000,94.4600,95.3900,27705200
20160706,95.5300,95.6600,94.3700,94.6000,30949100
20160707,95.9400,96.5000,95.6200,95.7000,25139600
20160708,96.6800,96.8900,96.0500,96.4900,28912100
20160711,96.9800,97.6500,96.7300,96.7500,23794900
20160712,97.4200,97.7000,97.1200,97.1700,24167500
20160713,96.8700,97.6700,96.8400,97.4100,25892200
20160714,98.7900,98.9900,97.3200,97.3900,38919000
20160715,98.7800,99.3000,98.5000,98.9200,30137000
20160718,99.8300,100.1300,98.6000,98.7000,36493900
20160719,99.8700,100.0000,99.3400,99.5600,23779900
20160720,99.9600,100.4600,99.7400,100.0000,26276000
20160721,99.4300,101.0000,99.1300,99.8300,32702000
20160722,98.6600,99.3000,98.3100,99.2600,28313700
20160725,97.3400,98.8400,96.9200,98.2500,40382900
20160726,96.6700,97.9700,96.4200,96.8200,56239800
20160727,102.9500,104.3500,102.7500,104.2700,92344800
20160728,104.3400,104.4500,102.8200,102.8300,39869800
20160729,104.2100,104.5500,103.6800,104.1900,27733700
20160801,106.0500,106.1500,104.4100,104.4100,38167900
20160802,104.4800,106.0700,104.0000,106.0500,33816600
20160803,105.7900,105.8400,104.7700,104.8100,30202600
20160804,105.8700,106.0000,105.2800,105.5800,27408700
20160805,107.4800,107.6500,106.1800,106.2700,40553400
20160808,108.3700,108.3700,107.1600,107.5200,28037200
20160809,108.8100,108.9400,108.0100,108.2300,26315200
20160810,108.0000,108.9000,107.7600,108.7100,24008500
20160811,107.9300,108.9300,107.8500,108.5200,27484500
20160812,108.1800,108.4400,107.7800,107.7800,18660400
20160815,109.4800,109.5400,108.0800,108.1400,25868200
20160816,109.3800,110.2300,109.2100,109.6300,33794400
20160817,109.2200,109.3700,108.3400,109.1000,25356000
20160818,109.0800,109.6000,109.0200,109.2300,21984700
20160819,109.3600,109.6900,108.3600,108.7700,25368100
20160822,108.5100,109.1000,107.8500,108.8600,25820200
20160823,108.8500,109.3200,108.5300,108.5900,21257700
20160824,108.0300,108.7500,107.6800,108.5700,23675100
20160825,107.5700,107.8800,106.6800,107.3900,25086200
20160826,106.9400,107.9500,106.3100,107.4100,27766300
20160829,106.8200,107.4400,106.2900,106.6200,24970300
20160830,106.0000,106.5000,105.5000,105.8000,24863900
20160831,106.1000,106.5700,105.6400,105.6600,29662400
20160901,106.7300,106.8000,105.6200,106.1400,26701500
20160902,107.7300,108.0000,106.8200,107.7000,26802500
20160906,107.7000,108.3000,107.5100,107.9000,26880400
20160907,108.3600,108.7600,107.0700,107.8300,42364300
20160908,105.5200,107.2700,105.2400,107.2500,53002000
20160909,103.1300,105.7200,103.1300,104.6400,46557000
20160912,105.4400,105.7200,102.5300,102.6500,45292800
20160913,107.9500,108.7900,107.2400,107.5100,62176200
20160914,111.7700,113.0300,108.6000,108.7300,110888704
20160915,115.5700,115.7300,113.4900,113.8600,89983600
20160916,114.9200,116.1300,114.0400,115.1200,79886896
20160919,113.5800,116.1800,113.2500,115.1900,47023000
20160920,113.5700,114.1200,112.5100,113.0500,34514300
20160921,113.5500,113.9900,112.4400,113.8500,36003200
20160922,114.6200,114.9400,114.0000,114.3500,31074000
20160923,112.7100,114.7900,111.5500,114.4200,52481200
20160926,112.8800,113.3900,111.5500,111.6400,29869400
20160927,113.0900,113.1800,112.3400,113.0000,24607400
20160928,113.9500,114.6400,113.4300,113.6900,29641100
20160929,112.1800,113.8000,111.8000,113.1600,35887000
20160930,113.0500,113.3700,111.8000,112.4600,36379100
20161003,112.5200,113.0500,112.2800,112.7100,21701800
20161004,113.0000,114.3100,112.6300,113.0600,29736800
20161005,113.0500,113.6600,112.6900,113.4000,21453100
20161006,113.8900,114.3400,113.1300,113.7000,28779300
20161007,114.0600,114.5600,113.5100,114.3100,24358400
20161010,116.0500,116.7500,114.7200,115.0200,36236000
20161011,116.3000,118.6900,116.2000,117.7000,64041000
20161012,117.3400,117.9800,116.7500,117.3500,37586800
20161013,116.9800,117.4400,115.7200,116.7900,35192400
20161014,117.6300,118.1700,117.1300,117.8800,35652200
20161017,117.5500,117.8400,116.7800,117.3300,23624900
20161018,117.4700,118.2100,117.4500,118.1800,24553500
20161019,117.1200,117.7600,113.8000,117.2500,20034600
20161020,117.0600,117.3800,116.3300,116.8600,24125800
20161021,116.6000,116.9100,116.2800,116.8100,23192700
20161024,117.6500,117.7400,117.0000,117.1000,23538700
20161025,118.2500,118.3600,117.3100,117.9500,48129000
20161026,115.5900,115.7000,113.3100,114.3100,66134200
20161027,114.4800,115.8600,114.1000,115.3900,34562000
20161028,113.7200,115.2100,113.4500,113.8700,37861700
20161031,113.5400,114.2300,113.2000,113.6500,26419400
20161101,111.4900,113.7700,110.5300,113.4600,43825800
20161102,111.5900,112.3500,111.2300,111.4000,28331700
20161103,109.8300,111.4600,109.5500,110.9800,26932600
20161104,108.8400,110.2500,108.1100,108.5300,30837000
20161107,110.4100,110.5100,109.4600,110.0800,32560000
20161108,111.0600,111.7200,109.7000,110.3100,24054500
20161109,110.8800,111.3200,108.0500,109.8800,59176400
20161110,107.7900,111.0900,105.8300,111.0900,57134500
20161111,108.4300,108.8700,106.5500,107.1200,34143900
20161114,105.7100,107.8100,104.0800,107.7100,51175500
20161115,107.1100,107.6800,106.1600,106.5700,32264500
20161116,109.9900,110.2300,106.6000,106.7000,58840500
20161117,109.9500,110.3500,108.8300,109.8100,27632000
20161118,110.0600,110.5400,109.6600,109.7200,28428900
20161121,111.7300,111.9900,110.0100,110.1200,29264600
20161122,111.8000,112.4200,111.4000,111.9500,25965500
20161123,111.2300,111.5100,110.3300,111.3600,27426400
20161125,111.7900,111.8700,110.9500,111.1300,11475900
20161128,111.5700,112.4700,111.3900,111.4300,27194000
20161129,111.4600,112.0300,110.0700,110.7800,28528800
20161130,110.5200,112.2000,110.2700,111.6000,36162300
20161201,109.4900,110.9400,109.0300,110.3700,37086900
20161202,109.9000,110.0900,108.8500,109.1700,26528000
20161205,109.1100,110.0300,108.2500,110.0000,34324500
20161206,109.9500,110.3600,109.1900,109.5000,26195500
20161207,111.0300,111.1900,109.1600,109.2600,29998700
20161208,112.1200,112.4300,110.6000,110.8600,27068300
20161209,113.9500,114.7000,112.3100,112.3100,34402600
20161212,113.3000,115.0000,112.4900,113.2900,26374400
20161213,115.1900,115.9200,113.7500,113.8400,43733800
20161214,115.1900,116.2000,114.9800,115.0400,34031800
20161215,115.8200,116.7300,115.2300,115.3800,46524500
20161216,115.9700,116.5000,115.6500,116.4700,44351100
20161219,116.6400,117.3800,115.7500,115.8000,27779400
20161220,116.9500,117.5000,116.6800,116.7400,21425000
20161221,117.0600,117.4000,116.7800,116.8000,23783200
20161222,116.2900,116.5100,115.6400,116.3500,26085900
20161223,116.5200,116.5200,115.5900,115.5900,14249500
20161227,117.2600,117.8000,116.4900,116.5200,18296900
20161228,116.7600,118.0200,116.2000,117.5200,20905900
20161229,116.7300,117.1100,116.4000,116.4500,15039500
20161230,115.8200,117.2000,115.4300,116.6500,30586300
20170103,116.1500,116.3300,114.7600,115.8000,28781900
20170104,116.0200,116.5100,115.7500,115.8500,21118100
20170105,116.6100,116.8600,115.8100,115.9200,22193600
20170106,117.9100,118.1600,116.4700,116.7800,31751900
20170109,118.9900,119.4300,117.9400,117.9500,33387600
20170110,119.1100,119.3800,118.3000,118.7700,24462100
20170111,119.7500,119.9300,118.6000,118.7400,27588600
20170112,119.2500,119.3000,118.2100,118.9000,27086200
20170113,119.0400,119.6200,118.8100,119.1100,26111900
20170117,120.0000,120.2400,118.2200,118.3400,34439800
20170118,119.9900,120.5000,119.7100,120.0000,23713000
20170119,119.7800,120.0900,119.3700,119.4000,25597300
20170120,120.0000,120.4500,119.7300,120.4500,32597900
20170123,120.0800,120.8100,119.7700,120.0000,22050200
20170124,119.9700,120.1000,119.5000,119.5500,23211000
20170125,121.8800,122.1000,120.2800,120.4200,32377600
20170126,121.9400,122.4400,121.6000,121.6700,26337600
20170127,121.9500,122.3500,121.6000,122.1400,20562900
20170130,121.6300,121.6300,120.6600,120.9300,30377500
20170131,121.3500,121.3900,120.6200,121.1500,49201000
20170201,128.7500,130.4900,127.0100,127.0300,111985000
20170202,128.5300,129.3900,127.7800,127.9800,33710400
20170203,129.0800,129.1900,128.1600,128.3100,24507300
20170206,130.2900,130.5000,128.9000,129.1300,26845900
20170207,131.5300,132.0900,130.4500,130.5400,38183800
20170208,132.0400,132.2200,131.2200,131.3500,23004100
20170209,132.4200,132.4500,131.1200,131.6500,28349900
20170210,132.1200,132.9400,132.0500,132.4600,20065500
20170213,133.2900,133.8200,132.7500,133.0800,22926400
